,DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
1915,7,1940,2810,0.0,284.655,689.45,284.66,150.18,1121.23,595.63,518.35,21.18,1.5031,2.8,0.1022,81663.98,0.6149,7.09,0,,60.1,2003.0,622.1877,124844.2,124837.28,8599.3422,0,5.7702,0.0,0.0,34.3462,0.0,658.0317,1.4978,3.938839317080025,0.705,2122.4498512845735,9.488666666666667,16.7687177,True,15.08058471500049
1916,4,1950,2915,1.0,247.6,802.62,247.6,0.0,1222.46,0.0,754.22,48.4,0.3955,2.3437,0.0023,159055.3,0.6566,20.76,1,"
						",28.68,2020.0,112.9081,24674.74,24662.51,0.0,0,0.4928,0.0,0.0,81.537,0.0,197.334,2.8889,4.937237479806139,0.882,2180.265355850271,8.253333333333334,8.234581799999999,True,12.03101941985832
1917,13,2022,2762,0.0,637.28,2307.65,637.28,0.0,3840.02,0.0,2151.57,156.08,0.2454,1.1702,0.0721,254130.57,0.6009,0.06,5,,186.5,2023.0,102.83,55339.01,55339.01,1775.7317,0,0.932448203007239,0.0,0.0,57.35,0.0,168.67,8.5,6.025640220938991,0.844,6516.406843143436,21.242666666666665,14.212801880000002,True,9.857873656908037
1918,4,1600,2559,0.0,315.62,989.3,315.62,0.0,2043.37,0.0,2024.1,62.33,1.105,2.2321,0.0323,215701.56,0.4841,0.02,1,"
      ",104.0,2019.0,185.0947,47075.01,52724.64,0.26,0,0.67,0.0,0.0,0.0,0.0,192.6464,4.8587,6.474146125087129,0.903,3426.535771708594,10.520666666666667,47.51514585999999,True,9.174955098685016
1920,13,1960,2924,2.0,176.1,1515.93,631.01,631.01,2877.41,2877.41,1400.41,178.9,0.6437,1.4816,0.3262,137487.8,0.5268,19.52,31,"
						",139.77,2003.0,200.5001,104936.35,104854.46,0.0,0,3.44,0.0,0.0,0.0,0.0,295.1511,94.6509,4.5600069729481305,0.829,5214.969245725046,21.033666666666665,23.33004314,True,13.026295870244422
1921,13,1850,2719,0.0,448.8,1416.75,448.8,0.0,2833.66,0.0,1316.12,140.0,0.772,1.9573,0.1958,233764.5,0.5,23.38,1,"
						",53.46,2016.0,206.5751,67450.5,66625.9,463.8093,2,0.6139,0.7872,0.0,22.2745,1.4726,292.0306,60.9211,6.31385918003565,0.719,4767.8153759897195,14.96,25.8013328,True,9.407875327315205
1922,11,1984,3123,0.0,975.0,2686.55,975.0,975.0,6782.0,6782.0,2378.01,308.54,2.1183,5.9984,1.0544,479415.8,0.3961,122.26,31,"
						",321.0,2017.0,875.2313,610284.91,610200.36,0.0,0,1.1513,0.0,0.0,0.0,0.0,884.7632,9.5319,6.955897435897436,0.715,11172.255289206918,32.5,137.76169838,True,8.539516366853436
1923,4,1912,2727,0.0,142.45,430.81,142.45,142.45,566.9,566.9,411.93,20.8,1.0884,2.4299,0.057,99794.01,0.7599,8.54,1,"
						",30.67,2018.0,191.9589,21122.09,21115.45,0.0,0,0.3099,0.0,0.0,2.4388,0.0,202.4873,8.0896,3.97964197964198,0.772,1075.8951274893134,4.748333333333333,9.97773064,True,14.925965778796964
1924,13,1976,3012,,2947.0,5027.6,2947.0,0.0,12725.2,0.0,4538.78,488.82,1.2752,4.5404,0.4187,1136454.0,0.3951,103.01,0,"
						",766.0,2002.0,276.7718,486857.52,469792.09,1651.5,2,0.462,9.831,0.0,47.1208,0.0,336.997,3.2734,4.318018323719037,0.576,23353.631574351006,98.23333333333333,160.14581167999998,True,13.756310313393897
1927,7,1850,2737,0.0,3763.52,5546.91,3763.52,3763.52,17328.34,17328.34,5039.76,717.42,1.1256,2.3571,0.3325,2113325.0,0.3201,93.21,19,"
						",800.0,2015.0,156.7805,513543.33,504613.06,692.1405,2,0.9836,10.3175,0.0,37.8089,2.3141,207.221,0.0,4.604290664059179,0.855,31257.97225183714,125.45066666666666,147.27569076,True,12.901010021733184
