DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
13,1980,2751,5.0,4603.19,7878.78,4603.19,33.74,21995.76,147.0,5892.24,1986.54,1.3017,3.7948,0.626,1882270.0,0.3582,764.84,1,822.14,2015.0,237.2838,846938.16,846315.04,0.0,0,1.6137,0.0,0.2471,43.9426,0.6444,282.7543,0.6364,4.778373258544618,0.775,39297.75163140354,153.43966666666665,304.169016,True,12.431008794422198,2
13,1975,2555,0.0,3943.73,7603.03,3943.73,3943.73,17416.31,17416.31,6990.47,1222.11,0.9044,3.4715,0.3734,1839275.0,0.4365,214.0,1,550.0,2014.0,189.6717,755017.9,755017.9,0.0,0,1.2609,0.0,0.0,42.6961,0.0,232.3679,0.0,4.416202427650981,1.009,31764.457832089156,131.45766666666665,211.29471866,True,13.450470392408036,2
13,2017,2498,3.0,1393.61,3162.39,1840.25,0.0,8165.29,0.0,2859.66,302.73,2.1693,3.3701,0.7609,467452.52,0.3873,0.03,0,204.0,2015.0,374.97,1329812.76,1329812.76,1.9095,0,0.706750528207706,0.0,0.0,93.43,1.58,545.75,75.77,4.437054747996196,1.927,14880.440078972671,61.34166666666667,144.47381621999995,True,13.387258750148495,2
5,1960,2541,0.0,8813.51,11255.98,8813.51,8813.51,35370.28,35370.28,21940.04,1666.72,1.3369,3.2578,0.464,2124886.69,0.3182,0.05,1,2953.0,2018.0,385.7883,2462010.26,2459273.33,57179.89,1,8.0,72.1592,2.0755,41.0495,0.0,520.65,19.5937,4.013188843037564,0.723,66234.19034172292,293.78366666666665,695.2295978400001,True,14.801197332902088,2
4,1940,2617,0.0,11235.82,10768.98,11235.82,10748.1,43802.17,41735.93,7832.79,1434.81,1.3,5.2307,0.1049,1854444.29,0.2459,0.05,5,2319.2,2000.0,124.0616,971596.86,844586.94,15.92,2,0.48,38.0479,34.702,58.8944,88.6419,399.8675,0.0,3.8984399892486703,0.606,82715.31563004525,374.5273333333334,353.75375333999995,True,15.236864018380825,2
13,1975,2662,,3348.04,6818.77,3348.04,0.0,19624.73,0.0,5990.26,828.51,1.3562,6.0113,0.0692,594972.69,0.3475,209.03,1,799.0,2016.0,301.7769,768693.41,768693.41,7.53309,0,0.861170038335817,0.0,0.0,32.0141,0.0,334.35,0.559,5.8615578069557115,0.761,33425.001107529395,111.60133333333332,262.0882555,True,10.133824822048508,2
4,1960,2617,0.0,443.64,12398.2,10894.48,8945.66,42507.86,35440.64,10787.88,3072.97,0.8615,1.8914,0.2043,5428818.0,0.2917,264.34,4,848.9,2021.0,98.53,819356.1,819356.1,0.0,0,0.5053,0.0,11.9225,60.3867,1.086,171.9251,0.0,3.9017796168334793,0.763,80251.33200551716,363.14933333333335,302.11948156,True,15.22382241778344,2
13,1930,2939,,20888.05,26631.34,20888.05,0.0,114945.1,0.0,23804.27,3216.11,0.9051,3.1678,0.1139,10982550.0,0.2317,1128.44,1,1830.68,2017.0,202.963,2955670.53,2955239.29,0.0,0,0.3998,0.0,0.0,51.5113,0.2198,258.2815,3.5875,5.502911952049138,0.697,198453.1223017476,696.2683333333333,634.6647607,True,10.794285010844304,2
13,1975,2617,0.0,8035.05,16617.16,8035.05,8035.05,37113.34,37113.34,14737.99,2757.73,1.3957,3.2732,0.4304,3722524.0,0.4477,217.69,1,941.33,2007.0,318.4293,2383391.72,2382884.36,0.0,0,1.59,0.0,0.0,46.5677,0.5451,365.972,0.4299,4.618930809391354,0.931,66876.44152111033,267.835,591.92828958,True,12.860119029976824,2
13,1980,2778,,7314.37,8429.44,7314.37,0.0,33797.29,0.0,7572.62,856.82,0.8089,3.0539,0.2819,2359578.0,0.2494,464.85,19,1100.0,2017.0,83.1067,810420.05,809452.07,0.0,0,1.1146,0.0,0.0,92.9887,0.7565,177.1061,0.2541,4.620669996185591,1.332,60896.36673867074,243.81233333333333,174.84269831999995,True,12.855278574110528,2
