DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
4,1989,2664,2.0,76.854,127.29,76.85,0.0,274.67,0.0,103.26,6.22,1.4509,2.7,0.3125,16833.55,0.4634,2.53,0,,78.7,1993.0,145.6779,7640.54,6814.02,187.1412,1,0.9366,0.0,0.0,0.0,0.0,153.6931,8.0152,3.574105400130124,0.609,543.1594479833361,2.5616666666666665,3.3322786800000004,True,16.61954345214257,1
4,1930,2634,0.0,538.65,1664.07,538.65,0.0,3110.14,0.0,1588.09,75.98,1.5399,2.9859,0.0393,428295.65,0.535,0.03,0,,314.0,2000.0,386.29,251502.59,150294.97,772.0456,0,0.308237145350801,0.0,0.0,0.0,0.0,386.29,0.0,5.773953402023578,0.722,5329.162402841729,17.955,53.44736945999999,True,10.287578694206692,1
4,2016,2617,1.0,1266.582,4284.22,1266.58,1266.58,7586.42,7586.42,4166.31,117.91,0.418,1.1,0.0141,269932.22,0.5647,48.28,7,,651.6,2016.0,138.0683,155738.18,132872.03,4305.7014,1,0.8271,29.8946,12.8628,35.7988,0.0,222.6226,5.998,5.989688768178876,0.76,12872.54317483167,42.21933333333333,37.42437160000001,True,9.917042821251655,1
13,1900,2616,0.0,726.38,1733.05,726.38,0.0,3333.65,0.0,1137.57,125.18,0.4664,1.6359,0.0069,166625.89,0.5199,0.01,1,,85.0,2017.0,128.0583,79752.01,79746.99,6007.23,0,1.34,0.0,0.0,30.4737,0.0,159.21,0.6672,4.589402241251136,0.857,6029.642780367165,24.212666666666667,14.7068922,True,12.94286202810733,1
4,1900,2765,1.0,91.56,204.65,91.56,0.0,482.09,0.0,404.77,13.88,1.3621,4.4086,0.1646,26355.49,0.4245,0.02,0,,92.0,1997.0,338.53,20602.05,20602.05,0.0372,0,0.374715431115754,0.0,0.0,135.52,0.0,480.68,6.63,5.265290519877675,0.665,856.6076545053694,3.052,12.2505717,True,11.281428778858722,1
13,1967,2617,0.0,3187.201,7803.96,3270.89,0.0,17265.88,0.0,7290.72,503.82,0.5268,0.7181,0.2983,975511.01,0.452,115.56,1,,890.4,2016.0,170.9251,494168.74,494091.11,31134.1721,0,1.327,0.0,0.0,23.7051,0.0,198.0144,3.3842,5.278648930413436,0.884,30111.259745240855,109.02966666666666,84.05088876000002,True,11.252879436205976,1
4,2003,2639,0.0,52.49,148.98,52.49,0.0,222.14,0.0,133.68,15.3,0.8373,2.8559,0.0746,29812.57,0.6706,0.11,1,,24.1,2023.0,176.57,6262.23,6262.23,76.3199,0,0.484704918125512,0.0,0.0,125.5,0.0,302.08,0.0,4.232044198895027,0.676,422.4076829842819,1.7496666666666667,3.11251068,True,14.035770234986948,1
7,1900,2463,1.0,618.55,1387.27,618.55,0.0,3118.79,0.0,1288.64,95.64,1.3297,2.5398,0.208,174370.8,0.4448,0.07,0,,468.0,2005.0,318.3,150717.62,150717.62,2084.5045,0,2.2012128,0.0,0.0,0.0,0.0,318.3,0.0,5.042098456066608,0.766,5511.307148081378,20.618333333333332,39.1282216,True,11.78080922409011,1
8,1800,3079,0.0,164.149,437.05,164.15,0.0,755.55,0.0,389.25,34.53,1.5768,2.8739,0.4857,46940.76,0.5785,10.67,1,,24.0,2010.0,540.0698,59229.98,50541.17,621.772,3,1.0153,103.3169,0.0,42.9295,0.0,707.6155,21.2993,4.602802314955833,0.57,1376.2304999681232,5.471666666666667,14.260103340000002,True,12.905181655747471,1
4,1850,2751,0.0,980.36,2511.68,1148.81,1148.81,6553.48,6553.48,1870.03,185.17,1.4112,4.9897,0.098,390599.9,0.3833,0.08,0,,678.99,2002.0,181.1198,149099.28,149017.97,2736.26,0,0.34,0.0,29.6358,249.4761,5.419,472.48,6.8301,5.704581262349736,0.716,11239.722658515731,38.29366666666667,71.2585817,True,10.41268364288897,1
4,1930,2866,0.0,827.994,1784.43,827.99,0.0,3175.81,0.0,1419.84,45.71,1.8539,3.1056,0.7514,262872.34,0.5619,25.54,1,,264.5,2004.0,387.2497,214313.69,214313.69,5490.1831,0,0.5911,0.0,0.0,57.9755,2.8351,456.7829,8.7225,3.835565646928103,0.668,6036.689100041559,27.599666666666668,55.48396704,True,15.486633646219392,1
4,2002,2770,1.0,59.62,122.76,59.62,0.0,211.98,0.0,110.08,10.79,0.7383,2.9249,0.1058,32571.92,0.5791,0.02,0,,22.1,2019.0,104.56,4896.79,4896.79,86.3558,0,0.536476661222717,0.0,0.0,0.0,0.0,104.56,0.0,3.555518282455552,0.786,422.2521362427155,1.9873333333333332,2.2566347,True,16.706425134446647,1
5,1980,2617,1.0,533.34,1695.11,533.34,533.34,3109.78,3109.78,1458.55,87.21,0.6308,2.0449,0.3859,193563.79,0.5451,37.46,5,,95.5,2023.0,39.8174,114976.43,114596.69,3515.505,3,1.0998,0.0,42.0035,138.2662,0.0,235.9264,15.8394,5.830764615442307,5.396,5317.368417877336,17.778000000000002,21.96778138,True,10.187343156107506,1
13,1950,2516,0.0,2429.65,4604.03,2429.65,681.94,11110.51,3175.35,3417.18,375.41,1.238,3.1846,0.4929,623264.97,0.4144,0.04,0,,697.6,1990.0,276.0308,431413.12,431331.79,14199.66,0,0.92,0.0,7.3127,40.5616,131.0042,463.5,8.5934,4.572884983433828,0.643,20082.55640688829,80.98833333333333,108.51999052,True,12.989611637989617,1
7,1900,2463,0.0,1346.0,2969.75,1346.0,1346.0,9205.0,9205.0,2684.43,285.32,0.3586,1.2177,0.2342,95544.36,0.3226,99.85,0,,760.0,2011.0,31.8591,113830.14,29717.76,7874.6653,2,1.0436,99.6939,89.537,42.7024,264.0879,527.8804,0.0,6.838781575037147,0.693,15204.965957128212,44.86666666666667,26.201415239999996,True,8.685757740358502,1
5,2018,2827,12.0,1800.0,2898.1,1800.0,0.0,6732.0,0.0,2699.34,198.76,1.0021,3.1336,0.3795,364545.9,0.4305,0.02,1,,414.0,2017.0,162.5,244647.31,244647.31,1.6612,0,1.10744832,0.0,0.0,317.14,0.0,511.58,31.93,3.74,0.836,12880.243255813955,60.0,66.556859,True,15.882352941176473,1
4,1996,2463,1.0,6062.1499,15696.41,7057.77,7057.77,33475.77,33475.77,15267.21,429.2,0.7028,3.845,0.0366,1226098.87,0.4689,0.02,1,,283.8,2000.0,73.85,348082.81,348082.81,3678.748,3,0.58705557710628,6.01,8.0,47.34,0.66,137.43,1.56,4.74310865896735,0.668,59913.06862830248,235.259,247.60138375999995,True,12.523432261602949,1
4,1955,2617,0.0,178.07,539.8,178.07,178.07,667.62,667.62,418.29,50.21,0.9112,4.9153,0.131,35172.68,0.8085,0.14,1,,450.0,2007.0,238.2024,33030.44,33015.52,870.48,0,1.03,0.0,13.3308,16.9873,0.0,274.87,6.3558,3.749199752906161,0.778,1286.535738793602,5.935666666666666,12.55886122,True,15.84338096521974,1
4,1900,3236,1.0,192.19,575.42,192.19,0.0,856.45,0.0,542.23,28.22,1.4229,2.9535,0.0508,110430.92,0.6719,0.03,1,,23.8,2018.0,377.76,56842.38,56842.38,293.4411,0,0.555194487422871,0.0,0.0,135.52,0.0,516.29,3.0,4.456267235548156,0.783,1570.9688792260245,6.406333333333333,17.097736740000002,True,13.32954171288458,1
13,1980,2617,0.0,644.02,1994.61,644.02,0.0,2631.49,0.0,1881.75,112.86,0.9267,3.3708,0.1698,291826.96,0.758,0.02,0,,105.0,2007.0,282.45,126320.15,126318.08,0.0001,0,0.871300611700312,0.0,0.0,34.67,0.0,318.18,1.05,4.086037700692525,0.694,4913.791911551689,21.467333333333332,42.48492426,True,14.53731080110508,1
8,2017,2556,0.0,108.24,478.91,108.24,108.24,517.39,517.39,437.04,41.87,0.4482,1.4698,0.3033,28139.26,0.9256,15.44,1,,35.0,2017.0,445.6351,38227.4,37772.23,2392.4136,0,4.0359,0.0,13.5552,34.2437,0.0,820.9935,327.5595,4.780025868440503,0.783,938.293876054934,3.608,5.14843708,True,12.42671099170838,1
